raw_name,canonical_name,entity_type,matching_method,confidence,resolution_status,source_url
Forward,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/useforward
Qokedas,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/qokedas
herdr,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/herdr
Lambda Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lambda-robotics
Conifer,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/conifer
Simantic,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/simantic
Experiential Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/experiential-labs
Edviro,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/edviro
Coasty,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/coasty
Caution,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/caution
Atomarine,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/atomarine
Billow AI Labs,Meta AI,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/billow-ai-labs
hardware intelligence,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hardware-intelligence
Osseus,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/osseus
Salem Robotics Inc,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/salem-robotics-inc
Robocurve,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/robocurve
hiloop,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hiloop
Dawn Industries,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/dawn-industries
Nex,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/nex
OneCLI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/onecli
Wondering,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/wondering
Tracer,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/tracer
Amulet,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/amulet
Avoca Systems,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/avoca-systems
SubVysion,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/subvysion
"SpaceFlow Technologies, Inc.",,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/spaceflow-technologies-inc
Petrarch,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/petrarch
Locke,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/locke
Florin,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/florin
Earendil Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/earendil-robotics
Hebbian Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hebbian-robotics
Hop Aero,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hop-aero
Agent FM,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/agent-fm
OpenRelay,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/openrelay
Dock,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/dock
HyperProbe,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hyperprobe
Grip,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/grip
Skymerse,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/skymerse
Hubble,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hubble-ai
Palisade,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/palisade-2
83 Sciences,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/83-sciences
Chromie,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/chromie
Lamb Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lamb-labs
Mireye,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/mireye
Derya,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/derya
Decawork,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/decawork
CarSignal,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/carsignal
Axelrod,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/axelrod
Levocred AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/levocred-ai
Praxis AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/praxis-ai-2
Care GP,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/care-gp
Radley,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/radley
Agnost AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/agnost-ai
Agentcard,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/agentcard
ProvenMetal,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/provenmetal
Gamgee,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/gamgee
Inkbox,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/inkbox
Operon,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/operon
Cosmic Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/cosmic-robotics
Markov,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/markov
Lumeria,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lumeria
Marengo,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/marengo
RonanRx Inc.,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ronanrx-inc
Executor,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/executor
Last Accounting Company,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/last-accounting-company
Pacific,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pacific
Luca IQ,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/luca-iq
Computable,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/computable
Denta,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/denta
Isengard Industries Inc,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/isengard-industries-inc
Ekho Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ekho-labs
Vestris,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/vestris
Ultrasonium,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ultrasonium
Arbital,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/arbital
PokerClubHub,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pokerclubhub
Neuron Industries,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/neuron-industries
Neuromorphic,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/neuromorphic
LATO,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lato
Risklytics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/risklytics
Daqstra,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/daqstra
Qlo,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/qlo
Fabraix,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/fabraix
Omanta,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/omanta
Rational,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rational
Aktoria Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/aktoria-robotics
Vendo,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/vendo
Click,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/click
Whitespace,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/whitespace
