raw_name,canonical_name,entity_type,matching_method,confidence,resolution_status
Forward,,STARTUP,,,UNRESOLVED
Qokedas,,STARTUP,,,UNRESOLVED
herdr,,STARTUP,,,UNRESOLVED
Lambda Robotics,,STARTUP,,,UNRESOLVED
Conifer,,STARTUP,,,UNRESOLVED
Simantic,,STARTUP,,,UNRESOLVED
Experiential Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Edviro,,STARTUP,,,UNRESOLVED
Coasty,,STARTUP,,,UNRESOLVED
Caution,,STARTUP,,,UNRESOLVED
Atomarine,,STARTUP,,,UNRESOLVED
Billow AI Labs,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
hardware intelligence,,STARTUP,,,UNRESOLVED
Osseus,,STARTUP,,,UNRESOLVED
Salem Robotics Inc,,STARTUP,,,UNRESOLVED
Robocurve,,STARTUP,,,UNRESOLVED
hiloop,,STARTUP,,,UNRESOLVED
Dawn Industries,,STARTUP,,,UNRESOLVED
Nex,,STARTUP,,,UNRESOLVED
OneCLI,,STARTUP,,,UNRESOLVED
Wondering,,STARTUP,,,UNRESOLVED
Tracer,,STARTUP,,,UNRESOLVED
Amulet,,STARTUP,,,UNRESOLVED
Avoca Systems,,STARTUP,,,UNRESOLVED
SubVysion,,STARTUP,,,UNRESOLVED
"SpaceFlow Technologies, Inc.",,STARTUP,,,UNRESOLVED
Petrarch,,STARTUP,,,UNRESOLVED
Locke,,STARTUP,,,UNRESOLVED
Florin,,STARTUP,,,UNRESOLVED
Earendil Robotics,,STARTUP,,,UNRESOLVED
Hebbian Robotics,,STARTUP,,,UNRESOLVED
Hop Aero,,STARTUP,,,UNRESOLVED
Agent FM,,STARTUP,,,UNRESOLVED
OpenRelay,,STARTUP,,,UNRESOLVED
Dock,,STARTUP,,,UNRESOLVED
HyperProbe,,STARTUP,,,UNRESOLVED
Grip,,STARTUP,,,UNRESOLVED
Skymerse,,STARTUP,,,UNRESOLVED
Hubble,,STARTUP,,,UNRESOLVED
Palisade,,STARTUP,,,UNRESOLVED
83 Sciences,,STARTUP,,,UNRESOLVED
Chromie,,STARTUP,,,UNRESOLVED
