schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,SimWAM: A Simple World Action Model for End-to-End Autonomous Driving,"Zongchuang Zhao, Xin Zhou, Tianyang Xu, Zhengyang Sun, Kaixuan Zhou, Honglin Li, Dingkang Liang, Xiang Bai",http://arxiv.org/abs/2608.07468,,,2026-08-07 17:59:09.000000
1.0,RESEARCH_PAPER,MirrorWorld: Taming Video Diffusion Models for Mirror Reflection Generation,"Youjun Zhao, Alex Warren, Gary K. L. Tam, Rynson W. H. Lau",http://arxiv.org/abs/2608.07463,,,2026-08-07 17:58:10.000000
1.0,RESEARCH_PAPER,"CreativeInstruct: Scalably Teaching LLMs to Balance Quality, Creativity, and Diversity","Ananya Sahu, Mohit Bansal, Elias Stengel-Eskin",http://arxiv.org/abs/2608.07460,,,2026-08-07 17:55:48.000000
1.0,RESEARCH_PAPER,CoinRAG: Contextualized Information Nugget KV Cache Reuse for Long-Context RAG,"Gyuwan Kim, Cheoneum Park, Tao Yang",http://arxiv.org/abs/2608.07458,,,2026-08-07 17:51:49.000000
1.0,RESEARCH_PAPER,Interaction Creates Dynamical AI Behavior Absent in Isolation,"Bella Xinrui Li, Frank Yingjie Huo, Neil F Johnson",http://arxiv.org/abs/2608.07457,,,2026-08-07 17:49:55.000000
1.0,RESEARCH_PAPER,Strategy-first synthesis planning for complex natural products,"Daniel Armstrong, Xuan-Vu Nguyen, Octavian Susanu, Gabriel Gibberd, Théo A. Neukomm, Taddäus Strunden, Dan Forster, Morgane Delattre, Shawn Teh, Clément Rols, John Federice, Hayden Leatherwood, M. Lavelle Barnes, Maarten R. Dobbelaere, Peter Wipf, Jon T. Njardarson, Jieping Zhu, Philippe Schwaller",http://arxiv.org/abs/2608.07454,,,2026-08-07 17:47:39.000000
1.0,RESEARCH_PAPER,SkillProx: Self-Evolving Agent Skills via Proximal Textual Gradient Descent,"Mingxuan Zheng, Yujin Zhou, Chuxue Cao, Boqin Yin, Yuyao Zhang, Jiapeng Sun, Shuaishuai Gong, Sirui Han, Yike Guo",http://arxiv.org/abs/2608.07449,,,2026-08-07 17:40:33.000000
1.0,RESEARCH_PAPER,Taxonomy-Driven Analysis of Open-Source AI Risk Mitigation Tools,"Afreen Alam, Evgenija Popchanovska, Ana Gjorgjevikj, Maryan Rizinski, Lubomir T. Chitkushev, Irena Vodenska, Dimitar Trajanov",http://arxiv.org/abs/2608.07446,,,2026-08-07 17:33:09.000000
1.0,RESEARCH_PAPER,RIS-Aided mmWave Localization Under Cross-Link Interference via Beam-Domain ML Fingerprinting,"Md Tarek Hassan, Dmitry Zelenchuk, Muhammad Ali Babar Abbasi",http://arxiv.org/abs/2608.07444,,,2026-08-07 17:28:33.000000
1.0,RESEARCH_PAPER,Blast Radius,"MY Pitsane, Hope Mogale",http://arxiv.org/abs/2608.07440,,,2026-08-07 17:23:53.000000
1.0,RESEARCH_PAPER,An Exploratory Evaluation of LLM-Assisted Rewriting of Moderate-Complexity Financial Sentences for DisCoCat-Based Sentiment Analysis,"Brian Llinas, Nikos Chrisochoides",http://arxiv.org/abs/2608.07439,,,2026-08-07 17:23:01.000000
1.0,RESEARCH_PAPER,PsychoAgent: An Affect-Sensitive Cognitive Architecture for Conflict-Aware Memory in LLM Agents,"Mohammad Amanlou, Parham Abed Azad, Farbod Davoodi, Mostafa Masumi, Behnam Bahrak, Abdol-Hossein Vahabie",http://arxiv.org/abs/2608.07438,,,2026-08-07 17:22:29.000000
1.0,RESEARCH_PAPER,Fisher-R1: Training LLM Agents for Reliable Hypothesis Testing,"Jiacheng Miao, Jin Mu, Guanhua Chen, James Zou",http://arxiv.org/abs/2608.07437,,,2026-08-07 17:22:00.000000
1.0,RESEARCH_PAPER,Post-Grokking Collapse at the Representation-Readout Interface in Muon-Trained Transformers,"Ali Janati, Kaoutar El Maghraoui, Andrei Kanavalau, Anass Belfatmi",http://arxiv.org/abs/2608.07436,,,2026-08-07 17:21:49.000000
1.0,RESEARCH_PAPER,SABRE: Scalable and Automated Benchmarking of VLMs under Stress,"Zixuan Lan, Luzhe Sun, Matthew R. Walter, Jiawei Zhou",http://arxiv.org/abs/2608.07435,,,2026-08-07 17:21:04.000000
1.0,RESEARCH_PAPER,Conformal Coverage Guarantees for Any Video Temporal Grounder,"Aseel Mohamed, Rasul Khanbayov, Erchin Serpedin, Hasan Kurban",http://arxiv.org/abs/2608.07434,,,2026-08-07 17:19:27.000000
1.0,RESEARCH_PAPER,Wasserstein Policy Gradient for Entropy-Regularized Linear-Quadratic Control,"Zhaoyu Zhu, Rui Gao, Shuang Li",http://arxiv.org/abs/2608.07433,,,2026-08-07 17:17:58.000000
1.0,RESEARCH_PAPER,Diffusion LLMs as Targets and Adversaries: Mechanistic Safety Exploits,"Elena Dumitrescu, Gert Lek, Lydia Y. Chen, Jérémie Decouchant",http://arxiv.org/abs/2608.07430,,,2026-08-07 17:17:18.000000
1.0,RESEARCH_PAPER,TEPA: Revoking Stale Memories for Conflict-Robust Language Agents,"Yan Zhou, Yue Ouyang, Kaiyang Zheng, Suncheng Xiang",http://arxiv.org/abs/2608.07429,,,2026-08-07 17:16:33.000000
1.0,RESEARCH_PAPER,A Picture is Worth a Thousand Tokens: How Vision Language Models Cut AI Energy Costs While Improving Accuracy,"Bhavika Jalli, Nikhil Korati Prasanna, Jayanta Choudhury",http://arxiv.org/abs/2608.07427,,,2026-08-07 17:14:45.000000
1.0,RESEARCH_PAPER,CoBa: Cost-Effective Test-Time Scaling via Compute-Balanced Routing,"Yan Zhou, Yue Ouyang, Kaiyang Zheng, Suncheng Xiang",http://arxiv.org/abs/2608.07424,,,2026-08-07 17:12:13.000000
1.0,RESEARCH_PAPER,Cloud-Boosted Low-Compute Multi-Channel Speech Enhancement,"Xulin Fan, Juan Azcarreta, Ashutosh Pandey, Jesus Alvarez, Ke Tan, Jacob Donley, Ritwik Giri, Buye Xu",http://arxiv.org/abs/2608.07423,,,2026-08-07 17:11:35.000000
1.0,RESEARCH_PAPER,Beyond Myopic World Models: Long-Horizon End-to-End Training for Direct Future Prediction,"Xinyi Li, Zaishuo Xia, Chenjie Hao, Yubei Chen",http://arxiv.org/abs/2608.07420,,,2026-08-07 17:05:44.000000
