schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/useforward,Forward,,2026-08-10 07:53:15.732703
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/qokedas,Qokedas,,2026-08-10 07:53:15.748955
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/herdr,herdr,,2026-08-10 07:53:15.773176
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/lambda-robotics,Lambda Robotics,,2026-08-10 07:53:15.788270
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/conifer,Conifer,,2026-08-10 07:53:15.802876
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/simantic,Simantic,,2026-08-10 07:53:15.817195
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/experiential-labs,AI21 Labs,,2026-08-10 07:53:15.831349
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/edviro,Edviro,,2026-08-10 07:53:15.844924
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/coasty,Coasty,,2026-08-10 07:53:15.858859
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/caution,Caution,,2026-08-10 07:53:15.872398
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/atomarine,Atomarine,,2026-08-10 07:53:15.885930
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/billow-ai-labs,Meta AI,,2026-08-10 07:53:15.899992
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/hardware-intelligence,hardware intelligence,,2026-08-10 07:53:15.913575
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/osseus,Osseus,,2026-08-10 07:53:15.927133
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/salem-robotics-inc,Salem Robotics Inc,,2026-08-10 07:53:15.940960
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/robocurve,Robocurve,,2026-08-10 07:53:15.955371
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/hiloop,hiloop,,2026-08-10 07:53:15.969838
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/dawn-industries,Dawn Industries,,2026-08-10 07:53:15.983846
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/nex,Nex,,2026-08-10 07:53:15.997655
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/onecli,OneCLI,,2026-08-10 07:53:16.011124
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/wondering,Wondering,,2026-08-10 07:53:16.024851
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/tracer,Tracer,,2026-08-10 07:53:16.038764
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/amulet,Amulet,,2026-08-10 07:53:16.083709
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/avoca-systems,Avoca Systems,,2026-08-10 07:53:16.105347
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/subvysion,SubVysion,,2026-08-10 07:53:16.119730
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/spaceflow-technologies-inc,"SpaceFlow Technologies, Inc.",,2026-08-10 07:53:16.135076
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/petrarch,Petrarch,,2026-08-10 07:53:16.151190
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/locke,Locke,,2026-08-10 07:53:16.165192
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/florin,Florin,,2026-08-10 07:53:16.179359
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/earendil-robotics,Earendil Robotics,,2026-08-10 07:53:16.193356
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/hebbian-robotics,Hebbian Robotics,,2026-08-10 07:53:16.207304
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/hop-aero,Hop Aero,,2026-08-10 07:53:16.221597
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/agent-fm,Agent FM,,2026-08-10 07:53:16.235657
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/openrelay,OpenRelay,,2026-08-10 07:53:16.250005
1.0,STARTUP,ycombinator,https://www.ycombinator.com/companies/dock,Dock,,2026-08-10 07:53:16.263929
